,English Word,Encrypted Text (Binary),Decrypted Text (Binary),Decrypted Text (Alphabet),Initial State, Polynomial
216,jacket,001110111011111001000101011111011100011011001010,011010100110000101100011011010110110010101110100,jacket,5432,10101
217,game,00110110101111100100101101110011,01100111011000010110110101100101,game,5432,10101
218,window,001001101011011001001000011100101100110011001001,011101110110100101101110011001000110111101110111,window,5432,10101
219,Kestrel,00011010101110100101010101100010110100011101101100100000,01001011011001010111001101110100011100100110010101101100,Kestrel,5432,10101
220,rutabaga,0010001110101010010100100111011111000001110111110010101101001100,0111001001110101011101000110000101100010011000010110011101100001,rutabaga,5432,10101
221,Buffalo,00010011101010100100000001110000110000101101001000100011,01000010011101010110011001100110011000010110110001101111,Buffalo,5432,10101
222,Sheep,0000001010110111010000110111001111010011,0101001101101000011001010110010101110000,Sheep,5432,10101
223,tomato,001001011011000001001011011101111101011111010001,011101000110111101101101011000010111010001101111,tomato,5432,10101
224,Stork,0000001010101011010010010110010011001000,0101001101110100011011110111001001101011,Stork,5432,10101
225,Goat,00010110101100000100011101100010,01000111011011110110000101110100,Goat,5432,10101
226,Blackbird,000100111011001101000111011101011100100011011100001001010101111100100011,010000100110110001100001011000110110101101100010011010010111001001100100,Blackbird,5432,10101
227,celeriac,0011001010111010010010100111001111010001110101110010110101001110,0110001101100101011011000110010101110010011010010110000101100011,celeriac,5432,10101
228,pepper,001000011011101001010110011001101100011011001100,011100000110010101110000011100000110010101110010,pepper,5432,10101
229,ankita,001100001011000101001101011111111101011111011111,011000010110111001101011011010010111010001100001,ankita,5432,10101
230,Panther,00000001101111100100100001100010110010111101101100111110,01010000011000010110111001110100011010000110010101110010,Panther,5432,10101
231,Mallard,00011100101111100100101001111010110000101100110000101000,01001101011000010110110001101100011000010111001001100100,Mallard,5432,10101
232,Starling,0000001010101011010001110110010011001111110101110010001001001010,0101001101110100011000010111001001101100011010010110111001100111,Starling,5432,10101
233,study,0010001010101011010100110111001011011010,0111001101110100011101010110010001111001,study,5432,10101
234,Curlew,000100101010101001010100011110101100011011001001,010000110111010101110010011011000110010101110111,Curlew,5432,10101
235,cookie,001100101011000001001001011111011100101011011011,011000110110111101101111011010110110100101100101,cookie,5432,10101
236,Giraffe,00010110101101100101010001110111110001011101100000101001,01000111011010010111001001100001011001100110011001100101,Giraffe,5432,10101
237,Lapwing,00011101101111100101011001100001110010101101000000101011,01001100011000010111000001110111011010010110111001100111,Lapwing,5432,10101
238,Ostrich,00011110101011000101001001100100110010101101110100100100,01001111011100110111010001110010011010010110001101101000,Ostrich,5432,10101
239,kohlrabi,0011101010110000010011100111101011010001110111110010111001000100,0110101101101111011010000110110001110010011000010110001001101001,kohlrabi,5432,10101
240,rabbit,001000111011111001000100011101001100101011001010,011100100110000101100010011000100110100101110100,rabbit,5432,10101
241,Storm petrel,000000101010101101001001011001001100111010011110001111000100100000110011000011101111110100110110,010100110111010001101111011100100110110100100000011100000110010101110100011100100110010101101100,Storm petrel,5432,10101
242,Hare,00011001101111100101010001110011,01001000011000010111001001100101,Hare,5432,10101
243,Rhinoceros,00000011101101110100111101111000110011001101110100101001010111110010100000001111,01010010011010000110100101101110011011110110001101100101011100100110111101110011,Rhinoceros,5432,10101
244,Guillemot,000101101010101001001111011110101100111111011011001000010100001000110011,010001110111010101101001011011000110110001100101011011010110111101110100,Guillemot,5432,10101
245,turnip,001001011010101001010100011110001100101011001110,011101000111010101110010011011100110100101110000,turnip,5432,10101
246,Kingfisher,00011010101101100100100001110001110001011101011100111111010001010010001000001110,01001011011010010110111001100111011001100110100101110011011010000110010101110010,Kingfisher,5432,10101
247,Dog,000101011011000001000001,010001000110111101100111,Dog,5432,10101
248,Crocodile,000100101010110101001001011101011100110011011010001001010100000100100010,010000110111001001101111011000110110111101100100011010010110110001100101,Crocodile,5432,10101
249,Eagle,0001010010111110010000010111101011000110,0100010101100001011001110110110001100101,Eagle,5432,10101
250,lettuce,00111101101110100101001001100010110101101101110100101001,01101100011001010111010001110100011101010110001101100101,lettuce,5432,10101
